[INFO ] [044421.834.826]   Aligning...
[DEBUG] [044423.195.617]   340000 <0.000396308 0.000246398 0.687578> <2.22718 -0.0653542 0.112064>
[DEBUG] [044423.215.617]   360000 <0.000493956 0.000307715 0.766856> <2.35303 -0.0729494 0.125283>
[DEBUG] [044423.235.619]   380000 <0.000608008 0.00037951 0.849902> <2.47847 -0.0809255 0.139197>
[DEBUG] [044423.255.619]   400000 <0.000740024 0.000462815 0.936613> <2.60349 -0.0892767 0.153798>
[DEBUG] [044423.275.616]   420000 <0.000891593 0.000558693 1.02689> <2.7281 -0.0979974 0.16908>
[DEBUG] [044423.295.619]   440000 <0.00106433 0.000668224 1.12063> <2.85229 -0.107082 0.185035>
[DEBUG] [044423.315.617]   460000 <0.00125986 0.000792511 1.21772> <2.97608 -0.116525 0.201655>
[DEBUG] [044423.335.617]   480000 <0.00147984 0.00093267 1.31805> <3.09945 -0.126321 0.218934>
[DEBUG] [044423.355.617]   500000 <0.00172591 0.00108983 1.42152> <3.22242 -0.136464 0.236864>
[DEBUG] [044423.375.617]   520000 <0.00199971 0.00126512 1.52801> <3.34498 -0.146949 0.255437>
[DEBUG] [044423.395.617]   540000 <0.00230291 0.00145968 1.63741> <3.46714 -0.15777 0.274647>
[DEBUG] [044423.415.618]   560000 <0.00263713 0.00167465 1.74961> <3.5889 -0.168921 0.294485>
[DEBUG] [044423.435.617]   580000 <0.00300399 0.00191117 1.86448> <3.71025 -0.180398 0.314944>
[DEBUG] [044423.455.618]   600000 <0.00340508 0.00217036 1.98191> <3.83121 -0.192195 0.336017>
[DEBUG] [044423.475.616]   620000 <0.00384198 0.00245335 2.10178> <3.95177 -0.204305 0.357694>
[DEBUG] [044423.495.618]   640000 <0.00431623 0.00276122 2.22396> <4.07193 -0.216725 0.37997>
[DEBUG] [044423.515.617]   660000 <0.00482932 0.00309507 2.34835> <4.1917 -0.229448 0.402835>
[DEBUG] [044423.535.617]   680000 <0.00538272 0.00345597 2.47481> <4.31108 -0.24247 0.426282>
[DEBUG] [044423.555.635]   700000 <0.00597785 0.00384495 2.60322> <4.43007 -0.255784 0.450303>
[DEBUG] [044423.575.618]   720000 <0.00661607 0.00426302 2.73346> <4.54867 -0.269385 0.47489>
[DEBUG] [044423.595.616]   740000 <0.00729869 0.00471117 2.86541> <4.66688 -0.283269 0.500035>
[DEBUG] [044423.615.619]   760000 <0.00802697 0.00519035 2.99893> <4.7847 -0.297429 0.52573>
[DEBUG] [044423.635.616]   780000 <0.00880209 0.00570146 3.13391> <4.90214 -0.311861 0.551966>
[DEBUG] [044423.655.617]   800000 <0.0096252 0.00624539 3.27022> <5.01919 -0.326559 0.578736>
[DEBUG] [044423.675.616]   820000 <0.0104974 0.00682297 3.40774> <5.13587 -0.341519 0.606032>
[DEBUG] [044423.695.618]   840000 <0.0114195 0.00743498 3.54633> <5.25216 -0.356734 0.633844>
[DEBUG] [044423.715.616]   860000 <0.0123927 0.00808217 3.68588> <5.36808 -0.3722 0.662166>
[DEBUG] [044423.735.618]   880000 <0.0134176 0.00876523 3.82625> <5.48362 -0.387911 0.690988>
[DEBUG] [044423.755.617]   900000 <0.0144951 0.00948482 3.96734> <5.59879 -0.403864 0.720302>
[DEBUG] [044423.775.617]   920000 <0.0156258 0.0102415 4.109> <5.71358 -0.420051 0.750101>
