freq z1h z2h zpidg(0..3) hpidg(0..3) ppidg(0..3) rpidg(0..3) gz_rc gz_wam maxmrate mg
100 0 0 0 0 1 0 0 0 0.3 0 1 0 0.5 0 1 0 0.5 0 0.1 0.65 500 41

time      z1             z2             dz             hdg    pitch  roll   cal tz   th   tp   tr   zov         hov         pov         rov         m1  m2  m3  m4  err       
0.840     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0763     0           -4          3           48  40  34  42  000000000 
0.850     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0694     0           -4          3           48  40  34  42  000000000 
0.860     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0631     0           -4          3           48  40  34  42  000000000 
0.870     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0574     0           -4          3           48  40  34  42  000000000 
0.880     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0523     0           -4          3           48  40  34  42  000000000 
0.890     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0475     0           -4          3           48  40  34  42  000000000 
0.900     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0431     0           -4          3           48  40  34  42  000000000 
0.910     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0391     0           -4          3           48  40  34  42  000000000 
0.920     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0357     0           -4          3           48  40  34  42  000000000 
0.930     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0324     0           -4          3           48  40  34  42  000000000 
0.940     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0294     0           -4          3           48  40  34  42  000000000 
0.950     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0267     0           -4          3           48  40  34  42  000000000 
0.960     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0244     0           -4          3           48  40  34  42  000000000 
0.970     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0221     0           -4          3           48  40  34  42  000000000 
0.980     25             19             22.9           10     4      -3     0   0    150  0    0    -0.02       0           -4          3           48  40  34  42  000000000 
0.990     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0183     0           -4          3           48  40  34  42  000000000 
1.000     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0166     0           -4          3           48  40  34  42  000000000 
1.010     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0151     0           -4          3           48  40  34  42  000000000 
1.020     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0137     0           -4          3           48  40  34  42  000000000 
1.030     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0126     0           -4          3           48  40  34  42  000000000 
1.040     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0114     0           -4          3           48  40  34  42  000000000 
1.050     25             19             22.9           10     4      -3     0   0    150  0    0    -0.0103     0           -4          3           48  40  34  42  000000000 
1.060     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00935    0           -4          3           48  40  34  42  000000000 
1.070     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00858    0           -4          3           48  40  34  42  000000000 
1.080     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00782    0           -4          3           48  40  34  42  000000000 
1.090     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00706    0           -4          3           48  40  34  42  000000000 
1.100     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00648    0           -4          3           48  40  34  42  000000000 
1.110     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00572    0           -4          3           48  40  34  42  000000000 
1.120     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00534    0           -4          3           48  40  34  42  000000000 
1.130     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00477    0           -4          3           48  40  34  42  000000000 
1.140     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00439    0           -4          3           48  40  34  42  000000000 
1.150     25             19             22.9           10     4      -3     0   0    150  0    0    -0.00401    0           -4          3           48  40  34  42  000000000 
